pop_10,pop_25,pop_50,pop_100,pop_200
1000000000000.0,4.0,4.0,4.0,4.0
3,3,3,3,3
1000000000000.0,1000000000000.0,1000000000000.0,19.0,13.0
1000000000000.0,1000000000000.0,25.0,27.0,26.0
1000000000000.0,1000000000000.0,1000000000000.0,1000000000000.0,1000000000000.0
1000000000000.0,1000000000000.0,1000000000000.0,1000000000000.0,1000000000000.0
