mut_prob_0.1,mut_prob_0.2,mut_prob_0.4,mut_prob_0.6
1000000000000.0,193.0,313.0,1000000000000.0
264.0,1000000000000.0,1000000000000.0,1000000000000.0
1000000000000.0,200.0,261.0,1000000000000.0
298.0,329.0,373.0,1000000000000.0
